,Scannumber,Timesweep,Status,I0(5.642|4.287),I1(3.256|2.402),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
37,37,1,Timesweep,34.568000000000005,54.69,-0.6851779209204187,68,4.7556,,,,,,
38,38,1,Timesweep,34.622,54.636,-0.6894785651984305,85,4.9444,,,,,,
39,39,1,Timesweep,34.071999999999996,54.641999999999996,-0.6624571899609575,102,5.1333,,,,,,
40,40,1,Timesweep,34.556999999999995,54.56100000000001,-0.6886247171578777,119,5.3222,,,,,,
41,41,1,Timesweep,34.688,55.037,-0.6803662027708932,136,5.5111,,,,,,
42,42,1,Timesweep,34.191,55.097,-0.6544867027645953,153,5.7,,,,,,
43,43,1,Timesweep,33.989000000000004,55.138999999999996,-0.6434592202887537,170,5.8889,,,,,,
44,44,1,Timesweep,33.701,54.49100000000001,-0.6489118542744319,187,6.0778,2,GPC expected,GPC expected,GPC expected,6.0,-2928.0
45,45,1,Timesweep,33.852,54.578,-0.653659711387605,204,6.2667,,,,,,
46,46,1,Timesweep,34.085,54.733999999999995,-0.6602960739743626,221,6.4556,,,,,,
47,47,1,Timesweep,33.830999999999996,55.062,-0.6381070655248451,238,6.6444,,,,,,
48,48,1,Timesweep,33.964,54.863,-0.6505120935377044,255,6.8333,,,,,,
49,49,1,Timesweep,33.154,54.633,-0.6179321855307667,272,7.0222,,,,,,
50,50,1,Timesweep,33.135,55.04,-0.6050478350780897,289,7.2111,,,,,,
51,51,1,Timesweep,33.879,55.181000000000004,-0.6368935851948063,306,7.4,,,,,,
52,52,1,Timesweep,32.861,54.305,-0.6133195176120128,323,7.5889,,,,,,
53,53,1,Timesweep,33.265,54.923,-0.6147775655619507,340,7.7778,,,,,,
54,54,1,Timesweep,33.0,54.82899999999999,-0.6046600678489236,357,7.9667,3,3574.0,7291.0,2.04,8.0,-2700.0
55,55,1,Timesweep,32.87,54.543,-0.6067196793250764,374,8.1556,,,,,,
